"urlPattern","method","time","status","AppName","TrackingId"
"https://api.zoom.us/v2/users/me/meetings","POST","2025-07-04 09:51:28","201","MyZoomOAuthApp","v=2.0;clid=us05;rid=WEB_cb6bd50ac03d9fb35f07f9393dfcc5d7"
"https://api.zoom.us/v2/users/me/meetings","POST","2025-07-04 09:51:28","201","MyZoomOAuthApp","v=2.0;clid=us05;rid=WEB_da1328bd0660c6d6be095b4ac2d6f9fa"
"https://api.zoom.us/v2/users/me/meetings","POST","2025-07-04 09:03:10","201","MyZoomOAuthApp","v=2.0;clid=us05;rid=WEB_6bd4e785b2eb331861689f8c2cd14d67"
"https://api.zoom.us/v2/users/me/meetings","POST","2025-07-04 08:23:38","201","MyZoomOAuthApp","v=2.0;clid=us05;rid=WEB_b0c87673f6d1f20187d78b3b6f8d47c3"
"https://api.zoom.us/v2/users/me/meetings","POST","2025-07-04 05:30:44","201","MyZoomOAuthApp","v=2.0;clid=us05;rid=WEB_7fac6b5c09847f9fccaabf18c3a15d5d"
"https://api.zoom.us/v2/users/me/meetings","POST","2025-07-04 04:56:19","201","MyZoomOAuthApp","v=2.0;clid=us05;rid=WEB_63b94ad604654ea7c89da341157fbfd4"
"https://api.zoom.us/v2/users/me/meetings","POST","2025-07-04 04:54:56","201","MyZoomOAuthApp","v=2.0;clid=us05;rid=WEB_49b423cd3872a0bf1b5b2fc5f2ea2bb9"
"https://api.zoom.us/v2/users/me/meetings","POST","2025-07-04 04:54:19","201","MyZoomOAuthApp","v=2.0;clid=us05;rid=WEB_269d6ca42927d895f2429c24dbf95bc7"
"https://api.zoom.us/v2/users/me/meetings","POST","2025-07-04 04:53:31","201","MyZoomOAuthApp","v=2.0;clid=us05;rid=WEB_6183a2ca8619eb4271d1da5dcfa955f5"
"https://api.zoom.us/v2/users/me/meetings","POST","2025-07-04 04:53:25","201","MyZoomOAuthApp","v=2.0;clid=us05;rid=WEB_e4f7810c1f93db6e0d4766a6afaec43f"
"https://api.zoom.us/v2/users/me/meetings","POST","2025-07-03 16:22:33","201","MyZoomOAuthApp","v=2.0;clid=us05;rid=WEB_f035d8231aa18769a593810d5e68d0da"
"https://api.zoom.us/v2/users/me/meetings","POST","2025-07-03 16:11:03","201","MyZoomOAuthApp","v=2.0;clid=us05;rid=WEB_abbc829706ec4b95b1b85d7a29d61747"
"https://api.zoom.us/v2/users/me/meetings","POST","2025-07-03 16:10:46","201","MyZoomOAuthApp","v=2.0;clid=us05;rid=WEB_93fe356dc863a31da5717c2cd450bb4b"
"https://api.zoom.us/v2/users/me/meetings","POST","2025-07-03 16:09:07","201","MyZoomOAuthApp","v=2.0;clid=us05;rid=WEB_8283aa5cb0e32fb1daf24bf6d9a1ada6"
"https://api.zoom.us/v2/users/me/meetings","POST","2025-07-03 16:06:48","201","MyZoomOAuthApp","v=2.0;clid=us05;rid=WEB_4eff614c806d236e94af8652b836cfd7"
"https://api.zoom.us/v2/users/me/meetings","POST","2025-07-03 16:04:45","201","MyZoomOAuthApp","v=2.0;clid=us05;rid=WEB_6d8450cf0e6ad299ad454f2dbc8a0810"
"https://api.zoom.us/v2/users/me/meetings","POST","2025-07-03 16:02:49","201","MyZoomOAuthApp","v=2.0;clid=us05;rid=WEB_7afaed4671c53c5bfc21922f0e0e60ee"
"https://api.zoom.us/v2/users/me/meetings","POST","2025-07-03 16:02:40","201","MyZoomOAuthApp","v=2.0;clid=us05;rid=WEB_cccc3a3ff64f91d0ef56a01f9a48f846"
"https://api.zoom.us/v2/users/me/meetings","POST","2025-07-03 16:02:30","201","MyZoomOAuthApp","v=2.0;clid=us05;rid=WEB_b5956b125f438fdd1864120a06103bdd"
"https://api.zoom.us/v2/users/me/meetings","POST","2025-07-03 16:00:42","201","MyZoomOAuthApp","v=2.0;clid=us05;rid=WEB_5e854edb1cd9a5a409552b6c1296d966"
"https://api.zoom.us/v2/users/me/meetings","POST","2025-07-03 16:00:38","201","MyZoomOAuthApp","v=2.0;clid=us05;rid=WEB_cf3c8753b962a533ca403b07b25b9af2"
"https://api.zoom.us/v2/users/me/meetings","POST","2025-07-03 15:59:31","201","MyZoomOAuthApp","v=2.0;clid=us05;rid=WEB_5425d355e95c4b4cc8f66809c360a56b"
"https://api.zoom.us/v2/users/me/meetings","POST","2025-07-03 15:59:21","201","MyZoomOAuthApp","v=2.0;clid=us05;rid=WEB_68e97844c0e64016a873f44be2d372e8"
"https://api.zoom.us/v2/users/me/meetings","POST","2025-07-03 15:58:18","201","MyZoomOAuthApp","v=2.0;clid=us05;rid=WEB_ca1c6dd04b52e4c9551a7df9e3d97d4f"
"https://api.zoom.us/v2/users/me/meetings","POST","2025-07-03 15:58:18","201","MyZoomOAuthApp","v=2.0;clid=us05;rid=WEB_ec6297e2ad8d941b33796c37139f0521"
"https://api.zoom.us/v2/users/me/meetings","POST","2025-07-03 15:58:17","201","MyZoomOAuthApp","v=2.0;clid=us05;rid=WEB_09728216473e68af2cd716875ec6df2d"
"https://api.zoom.us/v2/users/me/meetings","POST","2025-07-03 15:58:09","201","MyZoomOAuthApp","v=2.0;clid=us05;rid=WEB_e8eec4506980fad571fd444d39f28174"
"https://api.zoom.us/v2/users/me/meetings","POST","2025-07-03 15:58:06","201","MyZoomOAuthApp","v=2.0;clid=us05;rid=WEB_103dd43c6b26681a897652a44edc3974"
